GID,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Bye week,YTD Salary H/L
2871,RB,"Morris, Alfred",dal,lar,H,5100,-100,0.1,1,0.1,0.02,0,6,L
2916,RB,"Whittaker, Fozzy",car,ne,A,3000,0,0.1,1,0.1,0.03,1.2,11,
5374,RB,"Watson, Terrell",pit,bal,A,3000,0,0.1,1,0.1,0.03,0.3,9,
5568,RB,"Davis, Justin",lar,dal,A,3000,0,0.1,1,0.1,0.03,0,8,
1239,QB,"Anderson, Derek",car,ne,A,5400,0,0,0,0,0,0.68,11,
3552,RB,"Jones, Matt",ind,sea,A,3000,3000,0,0,0,0,0.3,11,H
4324,TE,"Lewis, Marcedes",jac,nyj,A,2800,300,0,2,0,0,28.2,8,H
1309,QB,"Henne, Chad",jac,nyj,A,4300,0,0,0,0,0,-0.3,8,
3732,WR,"Weems, Eric",ten,hou,A,3000,0,0,1,0,0,0,8,
3860,WR,"Tate, Brandon",buf,atl,A,3000,0,0,1,0,0,0,6,
3978,WR,"Roberts, Andre",atl,buf,H,3000,0,0,2,0,0,2.2,5,
4499,TE,"Hoomanawanui, Michael",no,mia,A,2500,0,0,0,0,0,0,5,
5097,WR,"Inman, Dontrelle",lac,phi,H,3200,-200,0,1,0,0,1.2,9,L
5110,TE,"Paul, Niles",was,kan,A,2500,0,0,0,0,0,0.7,5,
5130,WR,"Harris, Dwayne",nyg,tam,A,3000,0,0,2,0,0,0,8,
2822,RB,"Sherman, Anthony",kan,was,H,3000,0,0,0,0,0,2.1,10,
2840,RB,"Todman, Jordan",hou,ten,H,3000,0,0,0,0,0,0,7,
1401,QB,"Mallett, Ryan",bal,pit,H,4000,0,0,0,0,0,5.44,10,
4551,TE,"Allen, Dwayne",ne,car,H,2500,0,0,2,0,0,0,9,
4572,TE,"McDonald, Vance",pit,bal,A,2700,-100,0,1,0,0,0,9,L
4577,TE,"Toilolo, Levine",atl,buf,H,2500,0,0,1,0,0,0,5,
5215,WR,"Wheaton, Markus",chi,gb,A,3300,-200,0,0,0,0,0,9,L
2909,RB,"Coleman, Derrick",atl,buf,H,3000,0,0,1,0,0,0,5,
2911,RB,"Cunningham, Benny",chi,gb,A,3000,0,0,1,0,0,5.3,9,
4592,TE,"Griffin, Ryan",hou,ten,H,3500,500,0,1,0,0,17.1,7,H
2957,RB,"Williams, Damien",mia,no,H,3800,0,0,0,0,0,2.1,1,
4602,TE,"Seferian-Jenkins, Austin",nyj,jac,H,3000,0,0,0,0,0,8.1,11,
4637,TE,"Supernaw, Phillip",ten,hou,A,2500,0,0,0,0,0,1.3,8,
5265,WR,"Ellington, Bruce",hou,ten,H,3700,400,0,1,0,0,15.8,7,H
5283,WR,"Reedy, Bernard",tam,nyg,H,3000,0,0,1,0,0,1.9,1,
5368,WR,"Matthews, Chris",bal,pit,H,3000,0,0,0,0,0,1.8,10,
5388,WR,"Coates, Sammie",cle,cin,H,3100,0,0,1,0,0,0,9,
5397,RB,"Zenner, Zach",det,min,A,3300,0,0,0,0,0,0.5,7,
5414,RB,"Mostert, Raheem",sfo,ari,A,3000,0,0,0,0,0,0.1,11,
4666,TE,"Bell, Blake",min,det,H,2500,0,0,1,0,0,0,9,
5429,WR,"Bray, Quan",ind,sea,A,3000,0,0,2,0,0,3.2,11,
5430,WR,"Clay, Kaelin",buf,atl,A,3000,0,0,1,0,0,3.8,6,
5431,RB,"Hunt, Akeem",kan,was,H,3000,0,0,1,0,0,0,10,
5442,WR,"Williams, Kasen",cle,cin,H,3000,0,0,1,0,0,2,9,
5460,WR,"Doctson, Josh",was,kan,A,3600,100,0,1,0,0,12.2,5,H
5462,WR,"Cooper, Pharoh",lar,dal,A,3000,0,0,2,0,0,0.4,8,
5474,WR,"Carroo, Leonte",mia,no,H,3000,0,0,0,0,0,0,1,
5479,WR,"Moore, Chris",bal,pit,H,3000,0,0,0,0,0,0,10,
5482,RB,"Janovich, Andy",den,oak,H,3000,0,0,0,0,0,0.2,5,
5486,WR,"Grant, Jakeem",mia,no,H,3000,0,0,1,0,0,2.2,1,
4681,TE,"Travis, Ross",kan,was,H,2500,0,0,2,0,0,0,10,
5504,RB,"Watt, Derek",lac,phi,H,3000,0,0,1,0,0,0,9,
5505,WR,"McEvoy, Tanner",sea,ind,H,3000,0,0,2,0,0,0,6,
4689,TE,"Koyack, Ben",jac,nyj,A,2500,0,0,1,0,0,0,8,
5515,WR,"Robinson, Demarcus",kan,was,H,3000,0,0,0,0,0,2.9,10,
5518,WR,"Core, Cody",cin,cle,A,3000,0,0,1,0,0,0,6,
4694,TE,"Morgan, David",min,det,H,2500,0,0,1,0,0,0,9,
5526,RB,"Brown, Mack",was,kan,A,3000,0,0,0,0,0,2.7,5,
5531,WR,"Byrd, Damiere",car,ne,A,3000,0,0,2,0,0,0,11,
5561,RB,"Henderson, De'Angelo",den,oak,H,3600,0,0,0,0,0,0.1,5,
5569,WR,"Switzer, Ryan",dal,lar,H,3000,0,0,2,0,0,0.3,6,
5573,RB,"Edmunds, Trey",no,mia,A,3000,0,0,2,0,0,0,5,
5574,WR,"McKenzie, Isaiah",den,oak,H,3000,0,0,2,0,0,0.4,5,
5576,WR,"Bolden, Victor",sfo,ari,A,3000,0,0,1,0,0,0,11,
5579,WR,"Godwin, Chris",tam,nyg,H,3000,0,0,1,0,0,7.4,1,
5583,RB,"Clement, Corey",phi,lac,A,3800,800,0,0,0,0,8.2,10,H
5584,WR,"Leslie, Jordan",cle,cin,H,3700,0,0,0,0,0,3.6,9,
4708,TE,"Daniels, Darrell",ind,sea,A,2500,0,0,0,0,0,1.6,11,
4709,TE,"Shaheen, Adam",chi,gb,A,2500,0,0,0,0,0,7.2,9,
5585,WR,"Brown, Noah",dal,lar,H,3000,0,0,0,0,0,2.3,6,
7021,D,New York J,nyj,jac,H,2600,500,0,2,0,0,14,11,H
1242,QB,"Fitzpatrick, Ryan",tam,nyg,H,4400,0,-0.2,1,-0.2,-0.05,0,1,
1484,QB,"Mannion, Sean",lar,dal,A,4200,0,-0.22,1,-0.22,-0.05,0,8,
5446,RB,"Drake, Kenyan",mia,no,H,4000,0,-0.3,1,-0.3,-0.07,1.2,1,
5520,WR,"Raymond, Kalif",nyj,jac,H,0,-3000,-1,2,-0.5,0,0,11,L
7019,D,New Orleans,no,mia,A,2600,600,-2,2,-1,-0.38,14,5,H
